id,value
InterestTag.football,3953
InterestTag.Sports,3253
InterestTag.Entertainment,2763
InterestTag.Health,2315
InterestTag.Politics,2109
InterestTag.Food,1918
InterestTag.Education,1744
InterestTag.Environment,1672
InterestTag.History,1557
InterestTag.Science,1525
InterestTag.Inequality,1518
InterestTag.Technology,1422
InterestTag.Economy,1385
InterestTag.Climate change,1265
InterestTag.news,1051
InterestTag.india,964
InterestTag.sport,750
InterestTag.calcio,732
InterestTag.sfsarsd,721
InterestTag.#pixstory,679
InterestTag.hollywood,628
InterestTag.bollywood,531
InterestTag.premier league,523
InterestTag.music,495
InterestTag.manchester united,488
InterestTag.books,484
InterestTag.soccer,469
InterestTag.serie a,467
InterestTag.arsenal,446
InterestTag.nature,436
InterestTag.photography,414
InterestTag.football ⚽️,412
InterestTag.events,410
InterestTag.shareyaarnow,408
InterestTag.juventus,405
InterestTag.afghanistan,405
InterestTag.russia,402
InterestTag.fashion,401
InterestTag.event marketing,400
InterestTag.ukraine,376
InterestTag.love,369
InterestTag.mental health,361
InterestTag.covid 19,360
InterestTag.cricket,357
InterestTag.chelsea,347
InterestTag.psg,338
InterestTag.real madrid,335
InterestTag.nssdrc,334
InterestTag.usa,330
InterestTag.australia,325
InterestTag.kashmir,320
InterestTag.tennis,319
InterestTag.movies,295
InterestTag.taliban government,292
InterestTag.liverpool,286
InterestTag.bollywood news,280
InterestTag.nba,271
InterestTag.#healthylifestyle,270
InterestTag.event ideas,268
InterestTag.barcelona,257
InterestTag.travel,256
InterestTag.#bollywood,251
InterestTag.#health,248
InterestTag.premierleague,247
InterestTag.art,245
InterestTag.italy,240
InterestTag.#bollywood celebrities,236
InterestTag.movie,235
InterestTag.bollywood gossip,233
InterestTag.#bollywood #legend,230
InterestTag.bollywood life,230
InterestTag.f1,230
InterestTag.chill lover radio,228
InterestTag.pixstory,227
InterestTag.uefa,226
InterestTag.bollywood music,221
InterestTag.bollywood movies,221
InterestTag.fashion news,220
InterestTag.ukraine invasion,220
InterestTag.manchester city,219
InterestTag.english premier league,217
InterestTag.#bollywood movie,215
InterestTag.fifa,212
InterestTag.transgender,209
InterestTag.bollywood style,205
InterestTag.bollywood movie,202
InterestTag.champions league,202
InterestTag.memes,201
InterestTag.reading,197
InterestTag.preview,197
InterestTag.bollywood fashion,197
InterestTag.ukraine war,197
InterestTag.inter,195
InterestTag.transgender rights,195
InterestTag.lifestyle,194
InterestTag.england,191
InterestTag.foodie,184
InterestTag.cristiano ronaldo,184
InterestTag.kashmir valley,181
InterestTag.#bollywoodl,181
InterestTag.basketball,180
InterestTag.entertainment,179
InterestTag.transgender community,179
InterestTag.romance,178
InterestTag.enactusvitc,176
InterestTag.milan,170
InterestTag.life,170
InterestTag.lgbtq+,170
InterestTag.netflix,168
InterestTag.#bollywoodmusic,168
InterestTag.bollywood dance,168
InterestTag.kdrama,164
InterestTag.joe biden,164
InterestTag.anime,161
InterestTag.featured,161
InterestTag.climate change,157
InterestTag.france,156
InterestTag.lgbtqia+,156
InterestTag.mental health awareness,154
InterestTag.culture,151
InterestTag.newsdrum,151
InterestTag.formula 1,151
InterestTag.college life,147
InterestTag.poetry,147
InterestTag.jammu and kashmir,144
InterestTag.trans youth,143
InterestTag.delhi,142
InterestTag.bts,140
InterestTag.#football,139
InterestTag.the conversation,138
InterestTag.lgbtq,136
InterestTag.k-drama,136
InterestTag.roma,135
InterestTag.south korea,135
InterestTag.diet,132
InterestTag.#bolly,132
InterestTag.covid,131
InterestTag.webtoon,129
InterestTag.napoli,128
InterestTag.lgbt,128
InterestTag.women empowerment,127
InterestTag.avisha,127
InterestTag.nature photography,126
InterestTag.la liga,126
InterestTag.uddham,125
InterestTag.#health research,123
InterestTag.analysis,123
InterestTag.china,121
InterestTag.ukraine crisis,121
InterestTag.ucraina,121
InterestTag.visualization,119
InterestTag.pakistan,118
InterestTag.marvel,118
InterestTag.book,117
InterestTag.bjp,116
InterestTag.calciomercato,116
InterestTag.narendra modi,115
InterestTag.fashion trends,114
InterestTag.tourism,114
InterestTag.women's rights,112
InterestTag.fashion update,112
InterestTag.congress,112
InterestTag.hollywood news,111
InterestTag.italia,110
InterestTag.sky,108
InterestTag.spain,108
InterestTag.#sfsarsd,107
InterestTag.nationalgames,107
InterestTag.enactusshiv,106
InterestTag.feminism,106
InterestTag.hollywood life,106
InterestTag.rajdhani,105
InterestTag.nationalgames2022,105
InterestTag.literature,104
InterestTag.cinema,104
InterestTag.book reading,102
InterestTag.stories,102
InterestTag.russia-ukraine border,102
InterestTag.covid-19,101
InterestTag.atalanta,101
InterestTag.wimbledon,100
InterestTag.movie review,99
InterestTag.paris saint germain,99
InterestTag.hollywood movie,99
InterestTag.drama,98
InterestTag.ferrari,97
InterestTag.sunset,97
InterestTag.lionel messi,97
InterestTag.lgbtqia,97
InterestTag.nationalgamesofindia,97
InterestTag.funny memes,96
InterestTag.rajguru,96
InterestTag.social media,95
InterestTag.indian football,94
InterestTag.women,93
InterestTag.#woman,92
InterestTag.goa,92
InterestTag.manchesterunited,92
InterestTag.human rights,91
InterestTag.championsleague,91
InterestTag.bundesliga,90
InterestTag.hollywoodnews,90
InterestTag.inspirix,89
InterestTag.beauty,89
InterestTag.#womans health,88
InterestTag.peace,88
InterestTag.europa league,88
InterestTag.festival,87
InterestTag.friends,87
InterestTag.kpop,87
