Date,Account Created Date,toxicity
11/17/2020,1,0.04548959
11/17/2020,1,0.04548959
11/17/2020,60,0.044179366
11/17/2020,1,0.036681823
11/17/2020,13,0.038978646
11/17/2020,8,0.022482549
11/17/2020,1,0.19223389
11/17/2020,1,0.19223388
11/17/2020,10,0.093600041
11/18/2020,3,0.251541124
11/19/2020,1,0.013700471
11/19/2020,1,0.16304031
12/1/2020,9,0.055193568
12/2/2020,1,0.018808272
12/7/2020,1,0.2969393
12/19/2020,1,0.01464706
12/20/2020,3,0.084007767
12/23/2020,4,0.091205626
12/23/2020,4,0.095098166
12/23/2020,7,0.041324274
1/2/2021,1,0.058475606
1/4/2021,4,0.057825885
1/4/2021,24,0.091773983
1/7/2021,1,0.015653042
1/9/2021,2,0.032667861
1/15/2021,1,0.038609713
1/18/2021,1,0.015414686
2/1/2021,1,0.058475617
2/1/2021,5,0.086969547
2/3/2021,2,0.027293184
2/3/2021,53,0.034740274
2/12/2021,2,0.176022468
2/12/2021,1,0.03421022
2/15/2021,1,0.013881371
2/15/2021,1,0.013881379
2/15/2021,3,0.032160866
2/17/2021,1,0.022099126
2/22/2021,2,0.074736107
2/22/2021,8,0.018303814
2/23/2021,1,0.048246577
2/26/2021,4,0.030150037
3/4/2021,1,0.018817136
3/4/2021,2,0.081096515
3/5/2021,12,0.021607367
3/5/2021,1,0.01379303
3/8/2021,1,0.026239386
3/9/2021,1,0.015771825
3/13/2021,1,0.14567696
3/15/2021,2,0.056797943
3/21/2021,1,0.016999178
4/1/2021,4,0.05782588
4/3/2021,3,0.03686799
4/5/2021,2,0.07788433
4/5/2021,5,0.175561314
4/8/2021,1,0.011726168
4/12/2021,2,0.075116251
4/14/2021,1,0.010780804
5/4/2021,2,0.07788433
5/11/2021,1,0.015282196
5/14/2021,17,0.036075094
5/20/2021,13,0.037795147
5/31/2021,11,0.036411545
6/3/2021,6,0.026006475
6/10/2021,1,0.011713173
6/10/2021,9,0.030196641
6/10/2021,21,0.135022299
6/15/2021,1,0.068954036
6/22/2021,1,0.017851287
6/25/2021,9,0.029854172
7/1/2021,4,0.012150471
7/8/2021,1,0.014961344
7/10/2021,2,0.013497729
7/12/2021,6,0.01498129
