Date,Posts,Toxicity
2020-01-12,4,0.04537682
2020-02-12,1,0.00038008
2020-12-02,21,0.005746917
2020-12-06,4,0.117952677
2020-12-07,5,0.082799264
2020-12-09,7,0.002774783
2020-12-12,2,0.002617795
2020-12-16,3,0.000869982
2020-12-19,21,0.003074801
2020-12-23,274,0.01685414
2020-12-31,14,0.000439625
2021-01-02,26,0.008653862
2021-01-04,178,0.041509977
2021-01-06,7,0.000701081
2021-01-09,6,0.012620273
2021-01-15,145,0.006319491
2021-01-18,7,0.006280511
2021-01-20,36,0.000687937
2021-01-23,3,0.000859245
2021-01-24,13,0.015100775
2021-01-27,44,0.001469563
2021-01-28,1,0.001522947
2021-01-31,1,0.007445666
2021-02-03,367,0.007988715
2021-02-04,2,0.000439921
2021-02-06,4,0.000474116
2021-02-14,1,0.000765879
2021-02-17,57,0.002627558
2021-02-18,56,0.001364586
2021-02-23,30,0.006401947
2021-02-25,1,0.003680096
2021-02-26,64,0.006894868
2021-03-01,2,0.000535271
2021-03-02,3,0.001482216
2021-03-03,4,0.005389886
2021-03-05,391,0.004377494
2021-03-07,3,0.000630941
2021-03-08,439,0.00082858
2021-03-12,5,0.001294326
2021-03-20,1,0.000703313
2021-03-21,7,0.006925931
2021-03-23,1,0.000388412
2021-03-26,1,0.000569003
2021-04-01,34,0.030719376
2021-04-06,58,0.000721577
2021-04-07,1,0.00042598
2021-04-08,117,0.001559395
2021-04-09,1,0.004669677
2021-04-11,10,0.001226356
2021-04-13,32,0.005149782
2021-04-14,10,0.006680162
2021-04-22,11,0.057001143
2021-05-04,19,0.009243519
2021-05-09,14,0.005111282
2021-05-10,2,0.001189913
2021-05-11,42,0.001934747
2021-05-12,2,0.00612187
2021-05-17,1,0.000486385
2021-05-19,2,0.002221738
2021-05-28,4,0.002014786
2021-05-30,1,0.000896629
2021-05-31,165,0.004484711
2021-06-04,6,0.000793226
2021-06-12,1,0.000829516
2021-06-13,1,0.001047658
2021-06-15,4,0.045536216
2021-06-22,7,0.00654317
2021-06-23,1,0.000381209
2021-06-25,90,0.005854687
2021-06-28,4,0.001307126
2021-06-29,1,0.115467824
2021-06-30,1,0.000376951
2021-07-01,416,0.00912648
2021-07-03,2,0.030678749
2021-07-10,77,0.016692378
2021-07-12,29,0.010703963
2021-07-13,1,0.000638592
2021-07-15,5,0.000811356
2021-07-17,121,0.003882175
2021-07-18,29,0.004374151
2021-07-26,105,0.008116745
2021-08-03,58,0.000515245
2021-08-04,14,0.001181756
2021-08-07,4,0.000533401
2021-08-10,2,0.002590822
2021-08-11,3,0.023918192
2021-08-12,1,0.00036666
2021-08-19,12,0.050179515
2021-08-28,36,0.018496997
2021-08-29,2,0.000485498
2021-08-31,212,0.010002664
2021-09-01,155,0.011126614
2021-09-02,1,0.002498258
2021-09-03,10,0.001805889
2021-09-04,1,0.004669677
2021-09-08,9,0.001867194
2021-09-14,1,0.001212724
2021-09-20,16,0.00817656
2021-09-21,8,0.001456204
2021-09-22,1,0.000860332
2021-09-24,173,0.008960602
2021-09-25,30,0.073329747
2021-09-26,3,0.000409015
2021-09-27,1006,0.010187327
2021-09-29,325,0.012081483
2021-10-03,11,0.016113486
2021-10-05,56,0.003993378
2021-10-06,3,0.002173771
2021-10-08,7,0.001086445
2021-10-10,10,0.000455228
2021-10-11,87,0.003961727
2021-10-12,29,0.002713342
2021-10-14,2,0.004441624
2021-10-17,6,0.000663439
2021-10-20,4,0.00114016
2021-10-25,2,0.000867369
2021-10-26,53,0.007203826
2021-10-28,9,0.002165418
2021-10-30,89,0.001553665
2021-11-08,1,0.000422551
2021-11-10,7,0.000687533
2021-11-12,5,0.002230717
2021-11-17,1,0.000447766
2021-11-21,2,0.000551453
2021-11-28,2,0.000685976
2021-11-29,7,0.019846871
2021-11-30,63,0.01449636
2021-12-03,8,0.000581881
2021-12-06,38,0.001565991
2021-12-07,1,0.000447952
2021-12-10,63,0.011705609
2021-12-12,1,0.000571849
2021-12-13,73,0.006304893
2021-12-16,4,0.0142007
2021-12-17,32,0.0084727
2021-12-18,9,0.000765081
2021-12-19,14,0.007058151
2021-12-20,145,0.002995591
2021-12-21,17,0.053872925
2021-12-22,16,0.001230557
2021-12-25,2,0.000427862
2021-12-26,17,0.00092366
2021-12-28,8,0.00061564
2021-12-29,18,0.002291786
2021-12-30,24,0.001480498
2021-12-31,5,0.003459279
2022-01-01,18,0.000884327
2022-01-02,15,0.007400597
2022-01-03,83,0.002498147
2022-01-04,1,0.000510468
2022-01-10,49,0.031058475
2022-01-30,120,0.00197683
2022-02-04,9,0.000430202
2022-02-05,23,0.015393214
2022-02-06,73,0.04543863
2022-02-07,38,0.002242615
2022-02-25,7,0.000848379
2022-03-06,114,0.013996104
2022-03-11,13,0.012409725
2022-03-12,1,0.011362244
2022-03-18,4,0.001774556
2022-04-03,27,0.000871757
2022-04-05,94,0.002467803
2022-04-09,24,0.005714456
2022-04-10,65,0.002876112
2022-04-12,13,0.002440676
2022-04-13,2,0.000672911
2022-04-15,16,0.002383421
2022-04-20,1886,0.01715125
2022-04-21,392,0.04872999
2022-04-22,826,0.008330402
2022-04-24,50,0.003196704
2022-04-26,191,0.033010006
2022-04-28,38,0.002438731
2022-04-29,14,0.003650684
2022-05-01,11,0.001325071
2022-05-02,78,0.010328046
2022-05-05,1,0.000578855
2022-05-06,470,0.008707155
2022-05-07,66,0.030130298
2022-05-11,116,0.004135613
2022-05-12,65,0.011156107
2022-05-15,1,0.001293104
2022-05-18,75,0.002314337
2022-05-19,81,0.01404345
2022-05-21,118,0.005845658
2022-05-22,113,0.009912432
2022-05-24,34,0.004373352
2022-05-26,25,0.000873596
2022-05-27,10,0.000868694
2022-05-28,5,0.001015001
2022-05-31,15,0.07936257
2022-06-01,660,0.024995683
2022-06-03,131,0.01925768
2022-06-04,221,0.02285991
2022-06-05,56,0.00301495
2022-06-06,114,0.003791071
2022-06-09,107,0.007541873
2022-06-10,3,0.001465031
2022-06-12,14,0.005176314
2022-06-13,98,0.003350422
2022-06-14,482,0.024699328
2022-06-15,19,0.029311333
2022-06-18,7,0.000851898
2022-06-19,84,0.016159093
2022-06-20,35,0.001335587
2022-06-21,2,0.002445826
2022-06-23,10,0.003074492
2022-06-25,13,0.001115862
2022-06-26,9,0.085099164
2022-06-28,80,0.023472315
2022-07-07,35,0.004755307
2022-07-09,9,0.006399932
2022-07-11,18,0.000757521
2022-07-13,98,0.016050957
2022-07-18,18,0.003389822
2022-07-20,297,0.018239123
2022-07-21,29,0.096028931
2022-07-26,100,0.013956439
2022-07-27,71,0.004431578
2022-08-04,2,0.004612338
2022-09-17,42,0.003039493
2022-09-27,33,0.002752264
2022-09-28,53,0.02687656
2022-09-29,12,0.002776334
2022-09-30,7,0.001125852
2022-10-01,28,0.001191897
2022-10-03,43,0.008442141
2022-10-04,29,0.011686676
2022-10-10,20,0.016438727
2022-10-13,20,0.00205739
2022-10-14,19,0.001761305
2022-10-15,19,0.004712692
2022-10-16,16,0.018589488
2022-10-18,11,0.005290805
2022-11-07,8,0.000574941
2022-12-01,79,0.021119905
2022-12-05,1,0.000592785
2022-12-07,22,0.02283671
