name,rate
Kansas,87
Florida,78
New York,60
California,42
American Samoa,38
Texas,35
Arkansas,32
Minnesota,31
Washington,27
Oklahoma,21
Alabama,19
Iowa,17
Pennsylvania,16
Nebraska,15
Indiana,12
Illinois,12
Georgia,12
Virginia,12
Ohio,11
West Virginia,10
New Jersey,10
North Carolina,9
Montana,8
Massachusetts,8
Arizona,8
Maine,7
Missouri,7
Idaho,6
Tennessee,6
Wisconsin,6
Mississippi,5
Nevada,5
Michigan,5
Louisiana,4
Colorado,4
United States Virgin Islands,4
Utah,4
South Carolina,4
Alaska,3
Oregon,3
Kentucky,3
South Dakota,3
Delaware,2
District of Columbia,2
Maryland,2
New Mexico,2
Vermont,1
Connecticut,1
New Hampshire,1
Rhode Island,1
Hawaii,1
North Dakota,1
